index,instrument,start_seconds,quicktime_rms_dbfs,microsoft_rms_dbfs,microsoft_minus_quicktime_db,microsoft_spectral_cosine,checked_in_soundfont_spectral_cosine
0,Lucky Lyra,0,-12.9,-30.31,-17.41,0.6554,0.6812
1,Bone Flute,4,-22.51,-29.3,-6.78,0.9872,0.9367
2,Starbuck Harp,8,-23.48,-28.51,-5.03,0.9836,0.9435
3,Torjo,12,-23.94,-29.11,-5.17,0.868,0.7706
4,Xylo,16,-26.9,-29.1,-2.2,0.8418,0.8628
5,Gitor,20,-26.94,-26.0,0.94,0.9888,0.7767
6,Reed Flute,24,-22.15,-30.8,-8.65,0.9767,0.9401
7,Temple Organ,28,-24.23,-30.34,-6.11,0.982,0.7038
8,Conch,32,-26.48,-34.05,-7.57,0.8955,0.8964
9,Ocarina,36,-18.48,-30.36,-11.88,0.9345,0.9485
10,Centaur Organ,40,-21.83,-30.25,-8.42,0.8659,0.8442
11,Vibra,44,-25.69,-27.41,-1.72,0.9785,0.9389
12,Tuborn,48,-27.56,-31.64,-4.08,0.9406,0.799
13,Bagpipe,52,-24.65,-29.59,-4.94,0.9901,0.8806
14,Orga Drum,56,-21.98,-25.43,-3.46,0.9715,0.886
15,Casserole,60,-25.82,-29.46,-3.65,0.6662,0.6475
16,Violene,64,-29.87,-29.79,0.08,0.8866,0.7231
17,Pine Flute,68,-24.32,-27.37,-3.05,0.9239,0.788
18,Groanbox,72,-27.51,-30.41,-2.9,0.9813,0.7859
19,Gho-To,76,-25.04,-27.99,-2.96,0.9365,0.8469
20,Mammoth Violene,80,-25.41,-29.61,-4.2,0.9438,0.7989
21,Gutbucket Bass,84,-23.47,-28.61,-5.14,0.9826,0.9128
22,Glass Jug,88,-24.32,-29.91,-5.59,0.9794,0.8558
