"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.8.159","104.239.142.81","TCP","74","36650  >  5010 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1610748695 TSecr=0 WS=128"
"2","0.024588229","104.239.142.81","192.168.8.159","TCP","74","5010  >  36650 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1360 SACK_PERM=1 TSval=396075012 TSecr=1610748695 WS=256"
"3","0.024614769","192.168.8.159","104.239.142.81","TCP","66","36650  >  5010 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1610748720 TSecr=396075012"
"4","0.192153188","104.239.142.81","192.168.8.159","IPSICTL","70","Initialization"
"5","0.192168478","192.168.8.159","104.239.142.81","TCP","66","36650  >  5010 [ACK] Seq=1 Ack=5 Win=64256 Len=0 TSval=1610748888 TSecr=396075179"
"6","0.192300948","192.168.8.159","104.239.142.81","UDP","48","53091  >  5010 Len=6"
"7","0.258448650","104.239.142.81","192.168.8.159","IPSICTL","68","Initialization"
"8","0.258463220","192.168.8.159","104.239.142.81","TCP","66","36650  >  5010 [ACK] Seq=1 Ack=7 Win=64256 Len=0 TSval=1610748954 TSecr=396075245"
"9","0.288344902","104.239.142.81","192.168.8.159","IPSICTL","116","Initialization"
"10","0.288357391","192.168.8.159","104.239.142.81","TCP","66","36650  >  5010 [ACK] Seq=1 Ack=57 Win=64256 Len=0 TSval=1610748984 TSecr=396075275"
"11","2.264808449","192.168.8.159","104.239.142.81","IPSICTL","157","Initialization"
"12","2.287667736","104.239.142.81","192.168.8.159","TCP","66","5010  >  36650 [ACK] Seq=57 Ack=92 Win=65280 Len=0 TSval=396077275 TSecr=1610750960"
"13","2.287682116","192.168.8.159","104.239.142.81","IPSICTL","112","Initialization"
"14","2.310709362","104.239.142.81","192.168.8.159","TCP","66","5010  >  36650 [ACK] Seq=57 Ack=138 Win=65280 Len=0 TSval=396077297 TSecr=1610750983"
"15","2.591180532","104.239.142.81","192.168.8.159","IPSICTL","135","Initialization"
"16","2.591195192","192.168.8.159","104.239.142.81","TCP","66","36650  >  5010 [ACK] Seq=138 Ack=126 Win=64256 Len=0 TSval=1610751287 TSecr=396077578"
"17","3.005671099","104.239.142.81","192.168.8.159","UDP","829","5010  >  53091 Len=787"
"18","3.081401764","192.168.8.159","104.239.142.81","UDP","72","53091  >  5010 Len=30"
"19","3.203485889","104.239.142.81","192.168.8.159","UDP","218","5010  >  53091 Len=176"
"20","3.208131586","192.168.8.159","104.239.142.81","IPSICTL","89","Initialization"
"21","3.236619115","104.239.142.81","192.168.8.159","TCP","66","5010  >  36650 [ACK] Seq=126 Ack=161 Win=65280 Len=0 TSval=396078224 TSecr=1610751904"
"22","3.402923901","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"23","3.404561463","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"24","3.598126845","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"25","3.599425788","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"26","3.798330353","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"27","3.799528897","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"28","3.994869070","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"29","3.996014844","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"30","4.193945884","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"31","4.195444516","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"32","4.407973334","104.239.142.81","192.168.8.159","UDP","274","5010  >  53091 Len=232"
"33","4.409909944","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"34","4.602606810","104.239.142.81","192.168.8.159","UDP","288","5010  >  53091 Len=246"
"35","4.604368201","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"36","4.800610999","104.239.142.81","192.168.8.159","UDP","297","5010  >  53091 Len=255"
"37","4.802133092","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"38","4.998054722","104.239.142.81","192.168.8.159","UDP","337","5010  >  53091 Len=295"
"39","5.001130397","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"40","5.196029552","104.239.142.81","192.168.8.159","UDP","342","5010  >  53091 Len=300"
"41","5.197658313","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"42","5.395104016","104.239.142.81","192.168.8.159","UDP","342","5010  >  53091 Len=300"
"43","5.396881227","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"44","5.606429709","104.239.142.81","192.168.8.159","UDP","342","5010  >  53091 Len=300"
"45","5.607862742","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"46","5.805071816","104.239.142.81","192.168.8.159","UDP","342","5010  >  53091 Len=300"
"47","5.806495989","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"48","6.002880647","104.239.142.81","192.168.8.159","UDP","383","5010  >  53091 Len=341"
"49","6.004171700","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"50","6.200730627","104.239.142.81","192.168.8.159","UDP","337","5010  >  53091 Len=295"
"51","6.202110330","192.168.8.159","104.239.142.81","UDP","72","53091  >  5010 Len=30"
"52","6.399076635","104.239.142.81","192.168.8.159","UDP","542","5010  >  53091 Len=500"
"53","6.401734782","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"54","6.593783551","104.239.142.81","192.168.8.159","UDP","337","5010  >  53091 Len=295"
"55","6.595229384","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"56","6.792940215","104.239.142.81","192.168.8.159","UDP","337","5010  >  53091 Len=295"
"57","6.794400888","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"58","7.005990600","104.239.142.81","192.168.8.159","UDP","337","5010  >  53091 Len=295"
"59","7.007820561","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"60","7.203381273","104.239.142.81","192.168.8.159","UDP","337","5010  >  53091 Len=295"
"61","7.204767777","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"62","7.400836176","104.239.142.81","192.168.8.159","UDP","337","5010  >  53091 Len=295"
"63","7.402209369","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"64","7.595772251","104.239.142.81","192.168.8.159","UDP","386","5010  >  53091 Len=344"
"65","7.597564942","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"66","7.793269333","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"67","7.794533177","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"68","8.007600173","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"69","8.009253385","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"70","8.206703537","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"71","8.208232550","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"72","8.403935741","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"73","8.405206215","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"74","8.599085895","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"75","8.600508598","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"76","8.799326194","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"77","8.800680678","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"78","8.996862357","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"79","8.998197860","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"80","9.194350159","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
"81","9.195749063","192.168.8.159","104.239.142.81","UDP","65","53091  >  5010 Len=23"
"82","9.408071972","104.239.142.81","192.168.8.159","UDP","87","5010  >  53091 Len=45"
